 , ,,,,,,,,,,
Time,2023-06-03 08:38:42.369678327 +0100 BST m=+0.103777060,,,,,,,,,,
Toponame,./config/pi_nodes.csv,,,,,,,,,,
RequestFile,./config/sorted.csv,,,,,,,,,,
MemCap,1000,,,,,,,,,,
NodeNum,10,,,,,,,,,,
Beta,0.5,,,,,,,,,,
SlotNum,30,,,,,,,,,,
ReduFactor,10000,,,,,,,,,,
Token,local,,,,,,,,,,
Alpha,0.001,,,,,,,,,coldstart,
CommCostPara,1,,,,,,,,,,
Testbed,0,,,,,,,,,,0.34
CpuFreq,3,,,,,,,,,,0.31
 , ,,,,,,,,,,0.33
ID,funcType,commCost,runCost,instanCost,iscold,singlecost,,,,,0.32
193,2,1.5,0.48,0,0,1.98,,,,,
8616,3,0,0.99,0,0,0.99,,,,,
8617,3,1.38,0.99,0,0,2.38,,,,,
15707,4,0,0.28,0,0,0.28,,,,,
201,2,0,0.48,0,0,0.48,,,,,
202,2,1.5,0.48,0,0,1.98,,,,,
8623,3,0,0.99,0,0,0.99,,,,,
8624,3,1.38,0.99,0,0,2.38,,,,,
15710,4,0,0.28,0,0,0.28,,,,,
210,2,0,0.48,0,0,0.48,,,,,
211,2,1.5,0.48,0,0,1.98,,,,,
8630,3,0,0.99,0,0,0.99,,,,,
8631,3,1.38,0.99,0,0,2.38,,,,,
15713,4,0,0.28,0,0,0.28,,,,,
219,2,0,0.48,0,0,0.48,,,,,
220,2,1.5,0.48,0,0,1.98,,,,,
8637,3,0,0.99,0,0,0.99,,,,,
8638,3,1.38,0.99,0,0,2.38,,,,,
15716,4,0,0.28,0,0,0.28,,,,,
228,2,0,0.48,0,0,0.48,,,,,
229,2,1.5,0.48,0,0,1.98,,,,,
8644,3,0,0.99,0,0,0.99,,,,,
8645,3,1.38,0.99,0,0,2.38,,,,,
15719,4,0,0.28,0,0,0.28,,,,,
237,2,0,0.48,0,0,0.48,,,,,
238,2,1.5,0.48,0,0,1.98,,,,,
8651,3,0,0.99,0,0,0.99,,,,,
8652,3,1.38,0.99,0,0,2.38,,,,,
15722,4,0,0.28,0,0,0.28,,,,,
246,2,0,0.48,0,0,0.48,,,,,
247,2,1.5,0.48,0,0,1.98,,,,,
8658,3,0,0.99,0,0,0.99,,,,,
8659,3,1.38,0.99,0,0,2.38,,,,,
15725,4,0,0.28,0,0,0.28,,,,,
255,2,0,0.48,0,0,0.48,,,,,
256,2,1.5,0.48,0,0,1.98,,,,,
8665,3,0,0.99,0,0,0.99,,,,,
8666,3,1.38,0.99,0,0,2.38,,,,,
15728,4,0,0.28,0,0,0.28,,,,,
264,2,0,0.48,0,0,0.48,,,,,
265,2,1.5,0.48,0,0,1.98,,,,,
8672,3,0,0.99,0,0,0.99,,,,,
8673,3,1.38,0.99,0,0,2.38,,,,,
15731,4,0,0.28,0,0,0.28,,,,,
273,2,0,0.48,0,0,0.48,,,,,
274,2,1.5,0.48,0,0,1.98,,,,,
8679,3,0,0.99,0,0,0.99,,,,,
8680,3,1.38,0.99,0,0,2.38,,,,,
15734,4,0,0.28,0,0,0.28,,,,,
coldnum,servednum,totalnum,coldfreq,commcost,instancost,latencycost,runcost,avgcost,,,
75,221,581,0.34,0.35,19.66,20.01,0.57,20.58,,,
 , ,,,,,,,,,,
Time,2023-06-03 08:38:48.195144979 +0100 BST m=+0.102606928,,,,,,,,,,
Toponame,./config/pi_nodes.csv,,,,,,,,,,
RequestFile,./config/sorted.csv,,,,,,,,,,
MemCap,1000,,,,,,,,,,
NodeNum,10,,,,,,,,,,
Beta,0.5,,,,,,,,,,
SlotNum,30,,,,,,,,,,
ReduFactor,10000,,,,,,,,,,
Token,local,,,,,,,,,,
Alpha,0.005,,,,,,,,,,
CommCostPara,1,,,,,,,,,,
Testbed,0,,,,,,,,,,
CpuFreq,3,,,,,,,,,,
 , ,,,,,,,,,,
ID,funcType,commCost,runCost,instanCost,iscold,singlecost,,,,,
0,1,0,0.84,18.62,1,19.45,,,,,
1,1,0,0.84,18.62,1,19.45,,,,,
