" "," "
Time,2023-06-03 08:56:07.664799004 +0100 BST m=+0.249954131
Toponame,./config/pi_nodes.csv
RequestFile,./config/sorted.csv
MemCap,1000.000
NodeNum,10
Beta,1.500
SlotNum,30
ReduFactor,10000.000
Token,local
Alpha,0.001
CommCostPara,1.000
Testbed,0
CpuFreq,3.000
" "," "
ID,funcType,commCost,runCost,instanCost,iscold,singlecost
163.00,2.00,0.97,0.48,0.00,0.00,1.45
164.00,2.00,0.00,0.48,52.98,1.00,53.46
8593.00,3.00,0.93,0.99,0.00,0.00,1.92
8594.00,3.00,0.00,0.99,110.37,1.00,111.36
15698.00,4.00,0.66,0.28,0.00,0.00,0.93
172.00,2.00,0.97,0.48,0.00,0.00,1.45
173.00,2.00,0.00,0.48,52.98,1.00,53.46
8600.00,3.00,0.93,0.99,0.00,0.00,1.92
8601.00,3.00,0.00,0.99,110.37,1.00,111.36
15701.00,4.00,0.66,0.28,0.00,0.00,0.93
181.00,2.00,0.97,0.48,0.00,0.00,1.45
182.00,2.00,0.00,0.48,52.98,1.00,53.46
8607.00,3.00,0.93,0.99,0.00,0.00,1.92
8608.00,3.00,0.00,0.99,110.37,1.00,111.36
190.00,2.00,0.97,0.48,0.00,0.00,1.45
191.00,2.00,0.00,0.48,52.98,1.00,53.46
8614.00,3.00,0.93,0.99,0.00,0.00,1.92
8615.00,3.00,0.00,0.99,110.37,1.00,111.36
15704.00,4.00,0.00,0.28,30.59,1.00,30.87
15705.00,4.00,0.00,0.28,30.59,1.00,30.87
15706.00,4.00,0.00,0.28,30.59,1.00,30.87
199.00,2.00,0.97,0.48,0.00,0.00,1.45
200.00,2.00,0.00,0.48,52.98,1.00,53.46
8621.00,3.00,0.93,0.99,0.00,0.00,1.92
8622.00,3.00,0.00,0.99,110.37,1.00,111.36
208.00,2.00,0.97,0.48,0.00,0.00,1.45
209.00,2.00,0.00,0.48,52.98,1.00,53.46
8628.00,3.00,0.93,0.99,0.00,0.00,1.92
8629.00,3.00,0.00,0.99,110.37,1.00,111.36
15710.00,4.00,0.00,0.28,30.59,1.00,30.87
15711.00,4.00,0.00,0.28,30.59,1.00,30.87
15712.00,4.00,0.00,0.28,30.59,1.00,30.87
217.00,2.00,0.97,0.48,0.00,0.00,1.45
218.00,2.00,0.00,0.48,52.98,1.00,53.46
8635.00,3.00,0.93,0.99,0.00,0.00,1.92
8636.00,3.00,0.00,0.99,110.37,1.00,111.36
226.00,2.00,0.97,0.48,0.00,0.00,1.45
227.00,2.00,0.00,0.48,52.98,1.00,53.46
8642.00,3.00,0.93,0.99,0.00,0.00,1.92
8643.00,3.00,0.00,0.99,110.37,1.00,111.36
15716.00,4.00,0.00,0.28,30.59,1.00,30.87
15717.00,4.00,0.00,0.28,30.59,1.00,30.87
15718.00,4.00,0.00,0.28,30.59,1.00,30.87
235.00,2.00,0.97,0.48,0.00,0.00,1.45
236.00,2.00,0.00,0.48,52.98,1.00,53.46
8649.00,3.00,0.93,0.99,0.00,0.00,1.92
8650.00,3.00,0.00,0.99,110.37,1.00,111.36
244.00,2.00,0.97,0.48,0.00,0.00,1.45
245.00,2.00,0.00,0.48,52.98,1.00,53.46
